                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1968,                0.91849,                 1.2494,                0.75066,                0.82873,                0.82702,                0.44301,                 1.6169,                 1.0122,                   1.51,             0.00061079,             0.00061079,             0.00061079
                     35,                 1.2098,                0.90821,                 1.2271,                0.81297,                0.74405,                0.84216,                0.42759,                 1.6714,                 1.0403,                 1.5808,             0.00057778,             0.00057778,             0.00057778
                     36,                 1.2028,                0.91292,                  1.245,                0.86137,                0.74593,                0.84831,                0.40413,                 1.5802,                 1.0342,                 1.4315,             0.00054478,             0.00054478,             0.00054478
                     37,                 1.1662,                0.85273,                 1.1871,                0.81555,                0.76813,                0.84329,                0.40335,                 1.6315,                 1.0287,                 1.4615,             0.00051177,             0.00051177,             0.00051177
                     38,                 1.1553,                0.84196,                  1.169,                0.85596,                0.83766,                0.87844,                  0.408,                 1.7024,                 1.0373,                 1.5835,             0.00047876,             0.00047876,             0.00047876
                     39,                 1.1205,                0.82047,                 1.1746,                0.87846,                0.81981,                0.88586,                0.42291,                 1.6808,                 1.0418,                 1.5262,             0.00044576,             0.00044576,             0.00044576
                     40,                 1.1286,                0.82794,                  1.172,                0.84234,                0.82201,                0.85875,                0.41891,                 1.6561,                0.99914,                 1.5009,             0.00041275,             0.00041275,             0.00041275
                     41,                 1.0751,                0.91021,                 1.1741,                0.86369,                0.81088,                0.86495,                0.41889,                 1.7125,                0.99303,                 1.5661,             0.00037974,             0.00037974,             0.00037974
                     42,                 1.0858,                0.89277,                 1.1581,                0.86661,                0.80048,                0.85258,                0.42316,                 1.6815,                 1.0435,                 1.5117,             0.00034674,             0.00034674,             0.00034674
                     43,                 1.0661,                0.82267,                 1.1448,                0.86762,                0.83144,                0.88523,                 0.4303,                  1.669,                0.98132,                 1.5179,             0.00031373,             0.00031373,             0.00031373
                     44,                 1.0463,                0.81011,                 1.1539,                0.85979,                0.79221,                0.85331,                0.43603,                 1.6348,                0.98687,                 1.4974,             0.00028072,             0.00028072,             0.00028072
                     45,                 1.0502,                0.80659,                  1.146,                0.84465,                0.81569,                0.85541,                0.43104,                 1.6305,                0.99407,                 1.5219,             0.00024772,             0.00024772,             0.00024772
                     46,                0.99981,                0.77106,                 1.1265,                0.75836,                 0.8493,                0.83952,                0.42627,                 1.6346,                0.99083,                 1.5299,             0.00021471,             0.00021471,             0.00021471
                     47,                 1.0323,                 0.7834,                 1.1535,                  0.794,                0.77083,                0.82608,                0.43942,                 1.5801,                0.97076,                 1.4699,              0.0001817,              0.0001817,              0.0001817
                     48,                0.99894,                0.74284,                 1.1152,                0.76306,                0.83357,                0.83636,                0.45609,                 1.5925,                0.95444,                 1.4868,              0.0001487,              0.0001487,              0.0001487
                     49,                0.98815,                 0.7558,                 1.1059,                0.77014,                0.83305,                0.84147,                0.45606,                 1.5985,                0.94663,                 1.4843,             0.00011569,             0.00011569,             0.00011569
                     50,                0.97366,                0.73526,                 1.1038,                0.81363,                0.80278,                0.84602,                 0.4568,                 1.5699,                0.94355,                 1.4461,             8.2683e-05,             8.2683e-05,             8.2683e-05
